"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9960","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9961","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9990","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9929","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9930","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9931","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9934","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9935","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9984",,,,,,,
"9985",,,,,,,
"9939","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9945","7121",ギフト調整店,"7121 ギフト調整店","0071",調整総合,"0071 調整総合",
"9551","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9976",,,,,,,
"9977",,,,,,,
"9553","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9554","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9559","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9561","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9565","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9567","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9569","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9572","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9574","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9575","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9576","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9577","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9582","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9583","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9586","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9588","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9590","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9593","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9802","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9803","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9805","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9806","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9807","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9809","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9811","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9812","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9813","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9815","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9817","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9819","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9822","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9823","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9826","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9827","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9828","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9829","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9832","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9833","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9843","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
